sequence_number,V_allele,D_allele,J_allele
178,ighv4-28*05,ighd1-1*01,ighj5*02
179,ighv3-15*06,ighd3-10*02,ighj6*01
180,ighv1-46*04,ighd3-3*02,ighj4*03
181,ighv2-26*02,ighd4-4*01,ighj5*01
182,ighv1-45*01,ighd1-20*01,ighj4*03
183,ighv1-3*03,ighd1-20*01,ighj6*01
184,ighv3-nl1*01,ighd3-10*01,ighj6*04
185,ighv3-30*04,ighd2-21*02,ighj6*01
186,ighv1-8*02,ighd3-3*02,ighj4*03
187,ighv6-1*01,ighd5-18*01,ighj6*04
188,ighv3-49*01,ighd2-2*02,ighj4*02
189,ighv3-73*02,ighd3-22*01,ighj4*02
190,ighv1-24*01,ighd2-8*02,ighj6*01
191,ighv1-69d*01,ighd3-10*01,ighj6*04
192,ighv3-62*04,ighd2-15*01,ighj4*02
193,ighv2-70*10,ighd6-13*01,ighj4*02
194,ighv7-4-1*02,ighd3-10*01,ighj4*02
195,ighv3-66*01,ighd6-19*01,ighj6*01
196,ighv3-49*05,ighd1-20*01,ighj4*03
197,ighv1-8*01,ighd1-26*01,ighj6*04
198,ighv3-23d*01,ighd6-19*01,ighj1*01
199,ighv3-9*02,ighd6-19*01,ighj6*01
200,ighv5-10-1*04,ighd6-13*01,ighj4*03
201,ighv6-1*01,ighd5-5*01,ighj3*01
202,ighv2-26*02,ighd4-4*01,ighj6*01
203,ighv1-24*01,ighd2-15*01,ighj5*02
204,ighv3-30-5*02,ighd5-18*01,ighj4*03
205,ighv1-45*01,ighd5-18*01,ighj6*01
206,ighv2-5*01,ighd5-12*01,ighj5*02
207,ighv1-58*01,ighd2-21*01,ighj4*02
208,ighv2-5*02,ighd6-19*01,ighj4*03
209,ighv3-74*03,ighd2-2*02,ighj5*02
210,ighv4-30-2*05,ighd4-4*01,ighj4*03
211,ighv3-49*05,ighd3-22*01,ighj6*01
212,ighv1-69-2*01,ighd6-13*01,ighj5*02
213,ighv3-62*04,ighd1-26*01,ighj4*02
214,ighv2-70*10,ighd2-21*01,ighj4*02
215,ighv2-26*02,ighd5-18*01,ighj2*01
216,ighv1-24*01,ighd6-13*01,ighj4*03
217,ighv1-3*03,ighd6-19*01,ighj6*01
218,ighv1-45*01,ighd6-25*01,ighj4*03
219,ighv4-30-4*02,ighd4-17*01,ighj3*02
220,ighv3-49*01,ighd3-10*01,ighj4*02
221,ighv3-73*02,ighd3-3*01,ighj5*02
222,ighv2-70*20,ighd2-8*02,ighj5*01
223,ighv3-43d*04,ighd3-22*01,ighj3*01
224,ighv1-2*06,ighd5-18*01,ighj4*02
225,ighv3-30*03,ighd3-22*01,ighj4*02
226,ighv5-51*03,ighd2-21*01,ighj6*04
227,ighv1-46*03,ighd3-3*01,ighj4*02
228,ighv3-20*01,ighd1-20*01,ighj4*03
229,ighv1-69d*01,ighd5-12*01,ighj4*03
230,ighv2-26*03,ighd3-22*01,ighj6*04
231,ighv2-26*03,ighd5-18*01,ighj4*02
232,ighv2-5*01,ighd2-15*01,ighj4*02
233,ighv1-2*07,ighd2-8*02,ighj4*03
234,ighv1-69-2*01,ighd3-10*01,ighj4*02
235,ighv1-8*02,ighd2-2*01,ighj3*02
236,ighv3-66*01,ighd6-6*01,ighj4*03
237,ighv4-38-2*02,ighd3-22*01,ighj4*03
238,ighv6-1*01,ighd5-5*01,ighj5*02
239,ighv2-70*20,ighd2-8*02,ighj4*03
240,ighv3-43*02,ighd6-13*01,ighj6*04
241,ighv2-5*01,ighd1-26*01,ighj5*02
242,ighv3-7*03,ighd6-13*01,ighj4*03
243,ighv1-69d*01,ighd3-22*01,ighj4*02
244,ighv3-21*06,ighd4-4*01,ighj4*03
245,ighv2-26*02,ighd3-16*02,ighj4*03
246,ighv1-2*07,ighd6-25*01,ighj2*01
247,ighv2-70d*14,ighd3-22*01,ighj6*04
248,ighv1-46*03,ighd3-16*01,ighj4*02
249,ighv3-43*01,ighd2-21*02,ighj4*03
250,ighv1-18*04,ighd5-18*01,ighj3*02
251,ighv3-49*05,ighd1-26*01,ighj4*03
252,ighv1-2*06,ighd6-19*01,ighj4*02
253,ighv4-61*08,ighd4-4*01,ighj4*03
254,ighv1-46*03,ighd1-1*01,ighj5*02
255,ighv2-5*02,ighd3-3*02,ighj6*01
256,ighv3-nl1*01,ighd2-2*02,ighj6*04
257,ighv2-26*03,ighd1-26*01,ighj4*02
258,ighv3-64*05,ighd2-8*01,ighj4*02
259,ighv1-69*14,ighd1-7*01,ighj6*01
260,ighv4-28*06,ighd2-2*01,ighj6*01
261,ighv2-70*20,ighd6-25*01,ighj4*03
262,ighv1-58*02,ighd3-9*01,ighj4*03
263,ighv3-43d*03,ighd5-18*01,ighj4*03
264,ighv2-26*03,ighd5-18*01,ighj6*04
265,ighv1-8*02,ighd6-19*01,ighj4*03
266,ighv1-2*06,ighd4-4*01,ighj4*02
267,ighv4-61*08,ighd1-20*01,ighj4*03
268,ighv3-43*02,ighd5-18*01,ighj4*02
269,ighv3-62*04,ighd6-25*01,ighj4*03
270,ighv1-46*03,ighd2-21*01,ighj4*02
271,ighv1-58*02,ighd6-13*01,ighj3*02
272,ighv1-69*09,ighd1-20*01,ighj4*02
273,ighv1-46*04,ighd5-18*01,ighj4*03
274,ighv1-18*03,ighd3-10*01,ighj4*02
275,ighv5-10-1*04,ighd1-1*01,ighj5*01
276,ighv1-69-2*01,ighd7-27*01,ighj3*02
277,ighv2-5*02,ighd5-12*01,ighj4*03
278,ighv3-15*06,ighd5-18*01,ighj6*01
279,ighv1-58*01,ighd5-18*01,ighj6*04
280,ighv1-8*02,ighd1-7*01,ighj4*03
281,ighv3-nl1*01,ighd3-22*01,ighj3*02
282,ighv3-30*03,ighd2-8*01,ighj6*04
283,ighv3-62*04,ighd2-2*01,ighj4*03
284,ighv3-66*01,ighd1-1*01,ighj5*01
285,ighv3-20*01,ighd2-8*02,ighj6*01
286,ighv2-5*02,ighd3-3*02,ighj4*03
287,ighv2-70d*14,ighd3-3*01,ighj4*02
288,ighv3-13*01,ighd6-25*01,ighj6*04
289,ighv3-66*01,ighd2-21*02,ighj4*03
290,ighv1-69-2*01,ighd6-13*01,ighj3*01
291,ighv3-23d*01,ighd3-10*01,ighj4*02
292,ighv2-70*20,ighd6-6*01,ighj4*03
293,ighv1-3*02,ighd4-4*01,ighj4*02
294,ighv1-3*03,ighd3-10*02,ighj6*01
295,ighv1-24*01,ighd1-26*01,ighj4*03
296,ighv3-64d*06,ighd2-2*01,ighj5*01
297,ighv3-20*01,ighd3-9*01,ighj4*03
298,ighv3-30*04,ighd1-26*01,ighj4*03
299,ighv3-43d*04,ighd5-18*01,ighj3*01
300,ighv2-70d*14,ighd3-22*01,ighj4*02
301,ighv1-69d*01,ighd6-13*01,ighj4*03
302,ighv3-74*02,ighd5-5*01,ighj4*03
303,ighv1-46*04,ighd6-25*01,ighj6*01
304,ighv4-30-2*03,ighd3-10*01,ighj2*01
305,ighv1-69-2*01,ighd4-17*01,ighj3*02
306,ighv3-62*04,ighd2-8*01,ighj6*04
307,ighv1-45*02,ighd3-10*01,ighj6*04
308,ighv1-18*04,ighd3-3*02,ighj4*03
309,ighv2-5*02,ighd2-8*02,ighj5*01
310,ighv4-30-2*03,ighd1-20*01,ighj6*04
311,ighv1-45*02,ighd5-5*01,ighj4*02
312,ighv2-70*20,ighd5-5*01,ighj5*01
313,ighv6-1*01,ighd3-3*01,ighj4*02
314,ighv1-24*01,ighd1-20*01,ighj4*02
315,ighv1-3*02,ighd3-16*01,ighj5*02
316,ighv2-70d*04,ighd3-3*02,ighj2*01
317,ighv1-18*03,ighd3-22*01,ighj4*02
318,ighv2-5*02,ighd2-15*01,ighj3*02
319,ighv3-30-5*02,ighd1-26*01,ighj4*03
320,ighv2-70d*04,ighd1-20*01,ighj4*03
321,ighv1-2*07,ighd3-10*02,ighj4*03
322,ighv1-45*02,ighd4-4*01,ighj6*04
323,ighv1-46*03,ighd4-4*01,ighj6*04
324,ighv1-8*02,ighd5-5*01,ighj3*02
325,ighv3-23d*01,ighd2-2*01,ighj4*03
326,ighv3-23*04,ighd6-25*01,ighj6*01
327,ighv2-70d*14,ighd6-19*01,ighj3*01
328,ighv1-58*01,ighd2-8*01,ighj5*02
329,ighv1-69*14,ighd2-8*02,ighj5*01
330,ighv1-8*02,ighd6-6*01,ighj6*01
331,ighv3-43*01,ighd2-2*01,ighj2*01
332,ighv1-45*01,ighd3-9*01,ighj5*01
333,ighv1-8*01,ighd3-10*01,ighj6*04
334,ighv3-62*04,ighd1-7*01,ighj3*02
335,ighv1-69*14,ighd2-21*02,ighj4*03
336,ighv3-73*01,ighd3-3*02,ighj6*01
337,ighv1-69*09,ighd6-6*01,ighj4*02
338,ighv1-69-2*01,ighd1-1*01,ighj4*02
339,ighv1-2*06,ighd3-3*01,ighj4*02
340,ighv1-18*03,ighd3-22*01,ighj4*02
341,ighv1-69*14,ighd1-26*01,ighj6*01
342,ighv1-69-2*01,ighd4-17*01,ighj1*01
343,ighv1-3*03,ighd3-3*02,ighj4*03
344,ighv3-66*03,ighd3-22*01,ighj3*01
345,ighv2-26*03,ighd6-6*01,ighj4*02
346,ighv2-5*01,ighd2-15*01,ighj4*02
347,ighv3-74*03,ighd4-17*01,ighj4*02
348,ighv3-9*02,ighd6-13*01,ighj4*03
349,ighv6-1*01,ighd5-5*01,ighj6*04
350,ighv3-62*04,ighd2-2*01,ighj4*03
351,ighv1-8*01,ighd6-19*01,ighj5*02
352,ighv4-4*01,ighd4-4*01,ighj3*01
353,ighv1-69-2*01,ighd6-19*01,ighj4*02
354,ighv2-26*03,ighd3-9*01,ighj6*04
355,ighv1-69d*01,ighd6-13*01,ighj5*01
356,ighv3-23*04,ighd5-5*01,ighj6*01
357,ighv3-30-5*02,ighd1-1*01,ighj6*01
358,ighv1-8*02,ighd3-9*01,ighj5*01
359,ighv1-69d*01,ighd1-7*01,ighj4*02
360,ighv7-4-1*02,ighd2-2*02,ighj3*01
361,ighv3-43d*03,ighd6-19*01,ighj4*03
362,ighv3-33*06,ighd2-21*01,ighj4*02
363,ighv3-30-5*01,ighd2-8*01,ighj6*04
364,ighv1-58*01,ighd3-16*01,ighj3*01
365,ighv1-8*01,ighd3-3*01,ighj5*02
366,ighv1-45*01,ighd6-25*01,ighj6*01
367,ighv2-5*01,ighd2-15*01,ighj4*02
368,ighv3-9*02,ighd3-9*01,ighj5*01
369,ighv1-46*04,ighd3-10*02,ighj4*03
370,ighv3-23d*01,ighd3-3*02,ighj4*03
371,ighv1-69d*01,ighd4-17*01,ighj4*03
372,ighv1-24*01,ighd6-19*01,ighj6*04
373,ighv1-58*02,ighd5-12*01,ighj3*02
374,ighv3-21*06,ighd5-18*01,ighj5*01
375,ighv4-39*01,ighd7-27*01,ighj1*01
376,ighv3-30*03,ighd6-19*01,ighj5*02
377,ighv3-66*03,ighd3-22*01,ighj4*02
378,ighv3-7*05,ighd6-13*01,ighj5*02
379,ighv3-62*04,ighd3-9*01,ighj6*01
380,ighv3-23d*01,ighd6-6*01,ighj6*01
381,ighv3-64d*06,ighd3-10*02,ighj5*01
382,ighv3-23*04,ighd3-22*01,ighj6*01
383,ighv1-45*01,ighd3-3*02,ighj4*03
384,ighv1-46*04,ighd3-3*02,ighj4*03
385,ighv1-46*03,ighd2-15*01,ighj6*04
386,ighv5-10-1*03,ighd6-25*01,ighj4*02
387,ighv3-11*06,ighd4-4*01,ighj3*02
388,ighv4-31*02,ighd3-9*01,ighj4*03
389,ighv1-46*03,ighd5-5*01,ighj2*01
390,ighv5-10-1*03,ighd6-13*01,ighj4*02
391,ighv4-61*08,ighd5-12*01,ighj6*01
392,ighv1-58*02,ighd6-13*01,ighj5*01
393,ighv1-3*03,ighd2-21*02,ighj5*01
394,ighv1-69d*01,ighd5-5*01,ighj5*01
395,ighv2-70*20,ighd3-22*01,ighj6*01
396,ighv1-46*03,ighd3-16*01,ighj4*02
397,ighv1-3*03,ighd3-16*02,ighj4*03
398,ighv3-20*01,ighd5-5*01,ighj4*03
399,ighv1-8*02,ighd2-8*02,ighj4*03
400,ighv4-31*10,ighd3-3*01,ighj4*02
401,ighv1-24*01,ighd5-18*01,ighj5*01
402,ighv1-69-2*01,ighd3-22*01,ighj4*02
403,ighv3-48*04,ighd3-22*01,ighj1*01
404,ighv1-69*14,ighd6-13*01,ighj5*01
405,ighv6-1*01,ighd5-12*01,ighj4*02
406,ighv1-46*04,ighd2-15*01,ighj4*03
407,ighv1-69*09,ighd5-18*01,ighj5*02
408,ighv1-24*01,ighd6-19*01,ighj4*02
409,ighv3-49*05,ighd3-3*02,ighj6*01
410,ighv1-69d*01,ighd2-2*01,ighj4*03
411,ighv3-66*03,ighd4-17*01,ighj4*02
412,ighv1-69-2*01,ighd1-26*01,ighj6*01
413,ighv3-53*01,ighd3-16*01,ighj3*01
414,ighv1-3*02,ighd1-7*01,ighj4*02
415,ighv3-30*04,ighd3-22*01,ighj4*03
416,ighv1-58*02,ighd1-20*01,ighj4*03
417,ighv4-4*08,ighd4-17*01,ighj6*01
418,ighv3-53*01,ighd3-16*01,ighj4*02
419,ighv1-69d*01,ighd3-10*01,ighj4*02
420,ighv1-3*03,ighd4-4*01,ighj5*01
421,ighv2-70*10,ighd6-13*01,ighj4*02
422,ighv3-30*04,ighd2-15*01,ighj4*03
423,ighv1-2*06,ighd3-3*01,ighj4*02
424,ighv2-70d*14,ighd3-3*01,ighj5*02
425,ighv4-34*10,ighd1-26*01,ighj4*03
426,ighv3-23*01,ighd3-3*01,ighj3*01
427,ighv2-70*10,ighd2-15*01,ighj4*02
428,ighv1-69*09,ighd1-26*01,ighj4*02
429,ighv3-49*01,ighd3-3*01,ighj4*02
430,ighv1-69-2*01,ighd3-10*01,ighj4*02
431,ighv1-8*01,ighd3-9*01,ighj6*04
432,ighv3-nl1*01,ighd4-4*01,ighj4*02
433,ighv6-1*02,ighd3-3*02,ighj5*01
434,ighv3-7*03,ighd3-22*01,ighj4*03
435,ighv2-26*03,ighd3-22*01,ighj4*02
436,ighv1-58*01,ighd1-1*01,ighj3*01
437,ighv1-69*09,ighd5-5*01,ighj4*02
438,ighv3-30*03,ighd2-2*02,ighj5*02
439,ighv3-23*04,ighd2-15*01,ighj4*03
440,ighv2-70d*04,ighd5-18*01,ighj4*03
441,ighv3-21*02,ighd4-17*01,ighj4*02
442,ighv1-24*01,ighd2-15*01,ighj2*01
443,ighv3-53*01,ighd3-9*01,ighj4*02
444,ighv1-69-2*01,ighd2-2*02,ighj4*02
445,ighv1-8*01,ighd3-9*01,ighj4*02
446,ighv1-18*03,ighd5-5*01,ighj4*02
447,ighv4-4*08,ighd5-12*01,ighj4*03
448,ighv1-2*06,ighd1-20*01,ighj4*02
449,ighv1-3*02,ighd2-8*01,ighj4*02
450,ighv3-74*03,ighd6-6*01,ighj4*02
451,ighv7-4-1*02,ighd3-10*01,ighj5*02
452,ighv1-3*03,ighd2-2*01,ighj4*03
453,ighv5-51*03,ighd1-26*01,ighj4*02
454,ighv1-58*02,ighd2-15*01,ighj4*03
455,ighv5-51*03,ighd3-16*01,ighj6*04
456,ighv3-11*06,ighd2-2*01,ighj3*02
457,ighv3-48*03,ighd3-3*01,ighj3*01
458,ighv1-69-2*01,ighd6-13*01,ighj4*02
459,ighv2-5*02,ighd2-8*02,ighj6*01
460,ighv3-43*02,ighd5-18*01,ighj5*02
461,ighv4-59*01,ighd5-18*01,ighj6*04
462,ighv2-26*03,ighd1-26*01,ighj4*02
463,ighv2-70*20,ighd6-25*01,ighj6*01
464,ighv2-5*01,ighd2-21*01,ighj4*02
465,ighv2-5*02,ighd3-16*02,ighj5*01
466,ighv3-30*04,ighd1-26*01,ighj4*03
467,ighv3-49*01,ighd6-19*01,ighj4*02
468,ighv5-10-1*03,ighd3-10*01,ighj6*04
469,ighv3-43*02,ighd3-22*01,ighj5*02
470,ighv1-46*03,ighd3-3*01,ighj6*04
471,ighv1-18*04,ighd2-8*02,ighj5*01
472,ighv1-8*01,ighd3-9*01,ighj3*01
473,ighv1-46*04,ighd2-2*01,ighj4*03
474,ighv3-30*04,ighd4-17*01,ighj5*01
475,ighv3-15*06,ighd3-22*01,ighj3*02
476,ighv1-69d*01,ighd3-16*01,ighj4*02
477,ighv7-4-1*01,ighd2-21*02,ighj5*01
478,ighv1-58*02,ighd2-2*01,ighj4*03
479,ighv1-69-2*01,ighd5-5*01,ighj4*03
480,ighv1-18*04,ighd6-25*01,ighj6*01
481,ighv1-24*01,ighd3-10*02,ighj4*03
482,ighv2-70*10,ighd1-20*01,ighj6*04
483,ighv4-31*10,ighd4-17*01,ighj6*04
484,ighv4-31*10,ighd5-5*01,ighj4*02
485,ighv1-46*04,ighd3-9*01,ighj3*02
486,ighv2-70*20,ighd2-15*01,ighj4*03
487,ighv1-69d*01,ighd6-19*01,ighj5*01
488,ighv3-43*02,ighd3-3*01,ighj4*02
489,ighv1-69-2*01,ighd6-13*01,ighj4*03
490,ighv3-35*02,ighd1-20*01,ighj4*02
491,ighv1-46*03,ighd1-26*01,ighj5*02
492,ighv3-20*04,ighd6-6*01,ighj3*01
493,ighv3-74*02,ighd6-6*01,ighj3*02
494,ighv1-18*04,ighd6-13*01,ighj3*02
495,ighv1-2*06,ighd3-16*01,ighj4*02
496,ighv3-53*02,ighd6-19*01,ighj4*03
497,ighv2-26*03,ighd3-10*01,ighj4*02
498,ighv3-21*06,ighd6-25*01,ighj3*02
499,ighv2-70d*14,ighd1-26*01,ighj4*02
500,ighv2-70d*14,ighd3-22*01,ighj6*04
501,ighv3-23*01,ighd1-7*01,ighj4*02
502,ighv3-21*06,ighd2-21*02,ighj4*03
503,ighv3-64*05,ighd5-18*01,ighj4*02
504,ighv2-70d*04,ighd3-22*01,ighj6*01
505,ighv1-18*03,ighd3-10*01,ighj3*01
506,ighv1-8*02,ighd3-22*01,ighj4*03
507,ighv1-69*14,ighd3-16*02,ighj4*03
508,ighv3-73*01,ighd3-3*02,ighj6*01
509,ighv1-69*09,ighd4-17*01,ighj3*01
