sequence_number,V_allele,D_allele,J_allele
218,ighv5-51*03,ighd3-10*01,ighj4*02
219,ighv1-69d*01,ighd3-16*02,ighj4*03
220,ighv3-74*02,ighd3-16*02,ighj3*02
221,ighv4-28*05,ighd6-25*01,ighj6*04
222,ighv3-62*04,ighd3-16*01,ighj4*02
223,ighv2-5*02,ighd5-5*01,ighj4*03
224,ighv1-3*03,ighd4-17*01,ighj4*03
225,ighv2-26*03,ighd1-1*01,ighj6*04
226,ighv1-69*14,ighd1-1*01,ighj6*01
227,ighv3-62*04,ighd3-3*01,ighj6*04
228,ighv2-5*02,ighd2-21*02,ighj4*03
229,ighv3-48*03,ighd3-3*01,ighj4*02
230,ighv3-74*02,ighd2-15*01,ighj3*02
231,ighv3-30*04,ighd6-19*01,ighj4*03
232,ighv3-20*01,ighd6-19*01,ighj6*01
233,ighv3-49*05,ighd5-18*01,ighj3*02
234,ighv1-24*01,ighd3-9*01,ighj3*02
235,ighv3-30*04,ighd5-12*01,ighj6*01
236,ighv1-69-2*01,ighd3-16*01,ighj5*02
237,ighv2-70d*04,ighd6-13*01,ighj4*03
238,ighv3-nl1*01,ighd3-3*02,ighj4*03
239,ighv1-18*03,ighd1-7*01,ighj5*02
240,ighv3-43d*03,ighd2-8*02,ighj4*03
241,ighv1-69*14,ighd3-16*02,ighj4*03
242,ighv1-8*02,ighd5-12*01,ighj4*03
243,ighv1-8*01,ighd2-8*01,ighj4*02
244,ighv1-2*07,ighd6-25*01,ighj4*03
245,ighv1-69*09,ighd2-2*02,ighj2*01
246,ighv1-18*03,ighd1-20*01,ighj6*04
247,ighv1-69-2*01,ighd3-3*01,ighj4*02
248,ighv1-46*04,ighd3-9*01,ighj5*01
249,ighv1-8*01,ighd4-4*01,ighj6*04
250,ighv2-70*20,ighd6-25*01,ighj4*03
251,ighv3-43d*03,ighd3-9*01,ighj4*03
252,ighv1-8*01,ighd3-3*01,ighj2*01
253,ighv1-69-2*01,ighd4-17*01,ighj6*01
254,ighv1-3*03,ighd2-15*01,ighj6*01
255,ighv1-2*06,ighd2-8*01,ighj5*02
256,ighv1-8*02,ighd3-22*01,ighj6*01
257,ighv1-58*01,ighd4-4*01,ighj6*04
258,ighv1-69-2*01,ighd2-21*02,ighj4*03
259,ighv3-64d*09,ighd3-9*01,ighj4*02
260,ighv2-26*03,ighd2-15*01,ighj5*02
261,ighv1-8*02,ighd2-15*01,ighj5*01
262,ighv2-26*03,ighd6-13*01,ighj5*02
263,ighv1-69-2*01,ighd3-10*01,ighj4*02
264,ighv3-13*05,ighd3-22*01,ighj4*03
265,ighv1-18*03,ighd6-6*01,ighj3*01
266,ighv3-nl1*01,ighd2-21*01,ighj5*02
267,ighv2-5*02,ighd3-16*02,ighj4*03
268,ighv1-46*04,ighd2-15*01,ighj4*03
269,ighv2-26*03,ighd1-26*01,ighj4*02
270,ighv1-18*03,ighd3-16*01,ighj4*02
271,ighv1-58*02,ighd3-10*02,ighj1*01
272,ighv1-18*04,ighd5-5*01,ighj4*03
273,ighv1-58*01,ighd5-18*01,ighj4*02
274,ighv3-20*01,ighd2-15*01,ighj5*01
275,ighv1-46*04,ighd1-7*01,ighj1*01
276,ighv1-46*03,ighd2-21*01,ighj5*02
277,ighv1-46*04,ighd5-5*01,ighj5*01
278,ighv3-43*02,ighd3-10*01,ighj6*04
279,ighv3-15*05,ighd6-25*01,ighj6*04
280,ighv3-20*04,ighd3-3*01,ighj4*02
281,ighv3-64d*09,ighd6-13*01,ighj4*02
282,ighv2-26*03,ighd4-4*01,ighj4*02
283,ighv1-8*02,ighd4-4*01,ighj4*03
284,ighv2-70*20,ighd2-2*01,ighj6*01
285,ighv1-58*02,ighd2-15*01,ighj4*03
286,ighv3-13*01,ighd5-12*01,ighj4*02
287,ighv1-69*09,ighd3-10*01,ighj4*02
288,ighv1-69-2*01,ighd2-8*02,ighj4*03
289,ighv2-5*02,ighd6-13*01,ighj5*01
290,ighv1-8*01,ighd2-8*01,ighj3*01
291,ighv5-10-1*04,ighd2-2*01,ighj4*03
292,ighv1-69-2*01,ighd3-3*02,ighj5*01
293,ighv1-2*06,ighd2-8*01,ighj6*04
294,ighv2-70*20,ighd3-3*02,ighj4*03
295,ighv3-30-3*02,ighd5-5*01,ighj3*02
296,ighv3-15*06,ighd2-8*02,ighj2*01
297,ighv1-46*03,ighd5-18*01,ighj6*04
298,ighv2-70d*14,ighd2-15*01,ighj5*02
299,ighv3-72*01,ighd3-3*01,ighj4*02
300,ighv3-11*06,ighd2-15*01,ighj5*01
301,ighv1-24*01,ighd6-13*01,ighj4*02
302,ighv3-23d*01,ighd6-13*01,ighj6*01
303,ighv6-1*02,ighd2-21*02,ighj6*01
304,ighv3-43*02,ighd3-3*01,ighj4*02
305,ighv4-4*08,ighd3-22*01,ighj4*03
306,ighv1-69d*01,ighd3-9*01,ighj5*01
307,ighv1-58*01,ighd1-20*01,ighj6*04
308,ighv3-35*02,ighd6-6*01,ighj6*01
309,ighv4-61*08,ighd3-3*02,ighj6*01
310,ighv3-30*04,ighd3-3*02,ighj4*03
311,ighv1-69d*01,ighd6-19*01,ighj2*01
312,ighv1-2*07,ighd4-4*01,ighj4*03
313,ighv1-45*01,ighd4-17*01,ighj4*03
314,ighv1-18*03,ighd2-21*01,ighj6*04
315,ighv1-45*02,ighd1-1*01,ighj4*02
316,ighv1-3*03,ighd4-4*01,ighj4*03
317,ighv3-23d*01,ighd4-17*01,ighj4*03
318,ighv3-62*04,ighd6-19*01,ighj4*02
319,ighv1-58*01,ighd3-9*01,ighj3*01
320,ighv1-69-2*01,ighd3-22*01,ighj4*03
321,ighv2-26*02,ighd6-13*01,ighj5*01
322,ighv1-69-2*01,ighd4-4*01,ighj6*01
323,ighv6-1*01,ighd5-12*01,ighj4*02
324,ighv1-46*04,ighd3-3*02,ighj4*03
325,ighv1-69d*01,ighd3-10*01,ighj5*02
326,ighv2-70d*04,ighd3-16*02,ighj3*02
327,ighv3-43*01,ighd1-1*01,ighj2*01
328,ighv3-64d*06,ighd3-10*02,ighj4*03
329,ighv1-45*02,ighd3-9*01,ighj5*02
330,ighv4-4*08,ighd6-25*01,ighj4*03
331,ighv1-18*04,ighd2-8*02,ighj4*03
332,ighv1-24*01,ighd1-20*01,ighj5*02
333,ighv4-39*01,ighd1-1*01,ighj4*03
334,ighv7-4-1*02,ighd2-2*02,ighj4*02
335,ighv1-58*01,ighd5-18*01,ighj6*04
336,ighv1-24*01,ighd5-5*01,ighj4*02
337,ighv5-51*03,ighd5-5*01,ighj4*02
338,ighv3-48*04,ighd5-5*01,ighj4*03
339,ighv3-30*03,ighd3-16*01,ighj4*02
340,ighv1-46*04,ighd2-8*02,ighj3*02
341,ighv2-26*02,ighd1-26*01,ighj4*03
342,ighv2-70*10,ighd7-27*01,ighj4*02
343,ighv2-5*02,ighd2-21*02,ighj4*03
344,ighv3-11*05,ighd6-6*01,ighj5*02
345,ighv1-24*01,ighd3-9*01,ighj3*02
346,ighv1-69*09,ighd1-26*01,ighj5*02
347,ighv1-2*06,ighd3-16*01,ighj5*02
348,ighv3-9*01,ighd2-21*01,ighj3*01
349,ighv1-58*02,ighd1-7*01,ighj4*03
350,ighv1-69*09,ighd3-10*01,ighj6*04
351,ighv3-20*01,ighd2-21*02,ighj4*03
352,ighv1-45*01,ighd3-22*01,ighj4*03
353,ighv3-73*02,ighd3-3*01,ighj3*01
354,ighv1-3*03,ighd4-17*01,ighj3*02
355,ighv3-21*02,ighd1-7*01,ighj2*01
356,ighv2-5*01,ighd3-10*01,ighj4*02
357,ighv3-73*02,ighd3-10*01,ighj6*04
358,ighv2-70*20,ighd2-8*02,ighj6*01
359,ighv1-18*03,ighd2-2*02,ighj6*04
360,ighv3-20*04,ighd3-16*01,ighj6*04
361,ighv1-69-2*01,ighd3-3*02,ighj5*01
362,ighv1-46*04,ighd7-27*01,ighj5*01
363,ighv2-5*02,ighd6-6*01,ighj4*03
364,ighv3-nl1*01,ighd1-20*01,ighj4*03
365,ighv1-3*03,ighd1-26*01,ighj2*01
366,ighv7-4-1*02,ighd6-25*01,ighj4*02
367,ighv2-70d*14,ighd6-6*01,ighj4*02
368,ighv1-8*01,ighd3-10*01,ighj6*04
369,ighv1-2*06,ighd4-17*01,ighj4*02
370,ighv3-23*01,ighd6-13*01,ighj4*02
371,ighv4-30-4*01,ighd2-2*02,ighj4*02
372,ighv3-11*05,ighd2-2*02,ighj5*02
373,ighv3-30-3*02,ighd2-2*01,ighj3*02
374,ighv2-5*01,ighd3-10*01,ighj4*02
375,ighv1-46*04,ighd2-2*01,ighj5*01
376,ighv3-23d*01,ighd1-7*01,ighj6*04
377,ighv1-45*02,ighd3-9*01,ighj6*04
378,ighv3-62*04,ighd3-9*01,ighj6*04
379,ighv1-69*14,ighd3-22*01,ighj4*03
380,ighv1-8*01,ighd3-16*01,ighj2*01
381,ighv1-2*06,ighd1-7*01,ighj4*02
382,ighv1-24*01,ighd6-6*01,ighj4*02
383,ighv2-70*20,ighd6-25*01,ighj5*01
384,ighv3-73*02,ighd1-1*01,ighj4*02
385,ighv1-24*01,ighd6-6*01,ighj3*02
386,ighv2-70d*04,ighd3-16*02,ighj4*03
387,ighv1-69-2*01,ighd3-10*01,ighj5*02
388,ighv1-8*01,ighd3-10*01,ighj4*02
389,ighv1-69d*01,ighd1-1*01,ighj4*02
390,ighv3-13*05,ighd6-6*01,ighj4*03
391,ighv2-26*02,ighd1-20*01,ighj4*03
392,ighv2-5*01,ighd3-3*01,ighj3*01
393,ighv1-3*03,ighd3-22*01,ighj4*03
394,ighv3-53*01,ighd5-18*01,ighj3*01
395,ighv4-4*08,ighd2-15*01,ighj4*03
396,ighv1-2*06,ighd6-6*01,ighj4*02
397,ighv1-45*01,ighd1-26*01,ighj4*03
398,ighv2-26*02,ighd4-17*01,ighj5*01
399,ighv2-5*02,ighd2-21*02,ighj4*03
400,ighv6-1*01,ighd2-2*02,ighj4*02
401,ighv3-7*03,ighd3-3*02,ighj4*03
402,ighv3-74*03,ighd4-17*01,ighj6*04
403,ighv3-64*05,ighd1-20*01,ighj3*01
404,ighv1-3*02,ighd1-7*01,ighj4*02
405,ighv1-18*04,ighd1-7*01,ighj4*03
406,ighv1-69-2*01,ighd2-2*01,ighj4*03
407,ighv3-9*01,ighd3-22*01,ighj4*02
408,ighv2-26*02,ighd6-6*01,ighj4*03
409,ighv1-2*06,ighd2-21*01,ighj3*01
410,ighv5-10-1*04,ighd6-25*01,ighj4*03
411,ighv1-8*01,ighd2-2*02,ighj4*02
412,ighv3-53*01,ighd5-18*01,ighj4*02
413,ighv3-21*02,ighd5-12*01,ighj6*04
414,ighv3-49*01,ighd3-3*01,ighj4*02
415,ighv1-2*07,ighd6-25*01,ighj6*01
416,ighv1-3*03,ighd6-19*01,ighj3*02
417,ighv2-70d*04,ighd3-16*02,ighj6*01
418,ighv1-46*03,ighd4-17*01,ighj4*02
419,ighv1-69d*01,ighd6-13*01,ighj4*03
420,ighv3-7*03,ighd2-2*01,ighj4*03
421,ighv2-70*10,ighd3-16*01,ighj6*04
422,ighv6-1*01,ighd3-22*01,ighj4*02
423,ighv1-58*01,ighd2-8*01,ighj6*04
424,ighv3-64*03,ighd5-5*01,ighj5*01
425,ighv1-46*03,ighd6-25*01,ighj3*01
426,ighv1-45*02,ighd6-6*01,ighj4*02
427,ighv2-5*01,ighd2-15*01,ighj6*04
428,ighv1-2*06,ighd3-3*01,ighj6*04
429,ighv3-74*02,ighd6-6*01,ighj4*03
430,ighv4-30-4*02,ighd2-2*01,ighj3*02
431,ighv1-69*14,ighd3-9*01,ighj4*03
432,ighv1-3*03,ighd2-8*02,ighj5*01
433,ighv6-1*02,ighd1-20*01,ighj5*01
434,ighv3-43*02,ighd5-5*01,ighj6*04
435,ighv3-66*03,ighd5-5*01,ighj2*01
436,ighv3-23*01,ighd4-17*01,ighj3*01
437,ighv1-24*01,ighd1-1*01,ighj4*03
438,ighv1-69d*01,ighd3-22*01,ighj4*02
439,ighv4-30-2*03,ighd6-6*01,ighj4*02
440,ighv3-11*06,ighd5-5*01,ighj6*01
441,ighv5-51*07,ighd3-10*02,ighj4*03
442,ighv3-9*02,ighd6-6*01,ighj3*02
443,ighv1-18*04,ighd2-8*02,ighj4*03
444,ighv1-69*09,ighd5-5*01,ighj3*01
445,ighv3-23d*01,ighd3-10*01,ighj6*04
446,ighv1-69d*01,ighd1-20*01,ighj4*03
447,ighv1-69d*01,ighd3-22*01,ighj4*02
448,ighv1-18*03,ighd2-15*01,ighj5*02
449,ighv4-30-2*03,ighd6-25*01,ighj4*02
450,ighv2-5*02,ighd5-18*01,ighj4*03
451,ighv1-46*04,ighd2-15*01,ighj6*01
452,ighv1-18*04,ighd4-4*01,ighj4*03
453,ighv1-2*06,ighd1-7*01,ighj4*02
454,ighv3-64d*09,ighd3-22*01,ighj4*02
455,ighv1-18*04,ighd2-2*01,ighj4*03
456,ighv4-4*01,ighd5-18*01,ighj6*04
457,ighv2-5*01,ighd1-26*01,ighj6*04
458,ighv5-10-1*04,ighd1-26*01,ighj4*03
459,ighv1-58*01,ighd2-21*01,ighj4*02
460,ighv3-30-5*01,ighd6-6*01,ighj4*02
461,ighv1-69-2*01,ighd1-1*01,ighj3*02
462,ighv3-nl1*01,ighd3-22*01,ighj6*04
463,ighv3-30-5*01,ighd6-13*01,ighj3*01
464,ighv3-23*01,ighd3-3*01,ighj4*02
465,ighv3-11*06,ighd1-7*01,ighj4*03
466,ighv4-61*08,ighd1-20*01,ighj3*02
467,ighv1-8*01,ighd5-18*01,ighj4*02
468,ighv4-30-2*05,ighd4-17*01,ighj6*01
469,ighv2-70*20,ighd4-4*01,ighj4*03
470,ighv1-3*02,ighd3-10*01,ighj4*02
471,ighv6-1*01,ighd2-15*01,ighj5*02
472,ighv3-48*03,ighd2-21*01,ighj6*04
473,ighv1-69-2*01,ighd6-13*01,ighj1*01
474,ighv1-69-2*01,ighd3-9*01,ighj5*01
475,ighv1-2*07,ighd2-2*01,ighj4*03
476,ighv1-3*03,ighd6-6*01,ighj4*03
477,ighv1-46*04,ighd1-20*01,ighj3*02
478,ighv1-3*03,ighd6-19*01,ighj4*03
479,ighv1-58*02,ighd6-25*01,ighj4*03
480,ighv3-64d*06,ighd4-4*01,ighj4*03
481,ighv3-64d*09,ighd2-21*01,ighj1*01
482,ighv1-8*01,ighd4-4*01,ighj6*04
483,ighv3-nl1*01,ighd6-19*01,ighj4*03
484,ighv3-66*03,ighd3-16*01,ighj6*04
485,ighv1-58*01,ighd3-16*01,ighj4*02
486,ighv5-51*07,ighd2-2*01,ighj6*01
487,ighv1-58*02,ighd3-10*02,ighj4*03
488,ighv6-1*02,ighd6-6*01,ighj6*01
489,ighv2-70d*04,ighd3-3*02,ighj4*03
490,ighv4-28*06,ighd2-15*01,ighj6*01
491,ighv7-4-1*02,ighd6-19*01,ighj4*02
492,ighv1-24*01,ighd3-16*02,ighj4*03
493,ighv1-3*02,ighd2-8*01,ighj4*02
494,ighv1-69*09,ighd3-10*01,ighj4*02
495,ighv1-24*01,ighd4-4*01,ighj6*04
496,ighv3-9*01,ighd2-8*01,ighj4*02
497,ighv3-7*05,ighd1-20*01,ighj6*04
498,ighv1-24*01,ighd3-3*02,ighj4*03
499,ighv3-11*06,ighd3-9*01,ighj2*01
500,ighv1-69d*01,ighd3-16*01,ighj4*02
501,ighv1-58*01,ighd4-17*01,ighj6*04
502,ighv3-43*02,ighd6-25*01,ighj4*02
503,ighv1-3*02,ighd2-21*01,ighj4*02
504,ighv1-2*06,ighd2-8*01,ighj4*02
505,ighv2-26*02,ighd3-9*01,ighj4*03
506,ighv1-3*02,ighd1-1*01,ighj4*02
507,ighv7-4-1*01,ighd3-3*02,ighj6*01
508,ighv2-70d*14,ighd5-12*01,ighj3*01
509,ighv3-30*03,ighd3-3*01,ighj6*04
